x,y,yaw,0.266,2.151,0.002
-4203.698,1707.089,-1.482,1.581,-0.483,-0.009
-4203.783,1707.074,-1.483,0.473,-0.56,-0.013
-4203.937,1707.112,-1.483,-1.185,-0.091,-0.013
-4204.095,1707.077,-1.483,-2.639,-0.434,-0.014
-4204.054,1707.057,-1.483,-1.827,-0.582,-0.011
-4204.087,1707.193,-1.483,-1.9,0.903,-0.005
-4204.11,1707.201,-1.482,-1.859,0.855,0.001
-4204.181,1707.343,-1.482,-2.312,2.195,0.004
-4204.239,1707.312,-1.481,-2.574,1.546,0.007
-4204.285,1707.364,-1.482,-2.666,1.855,0.003
-4204.226,1707.198,-1.481,-1.665,-0.127,0.009
-4204.105,1707.211,-1.48,-0.173,0.027,0.018
-4204.083,1707.144,-1.479,0.072,-0.668,0.021
-4204.374,1707.299,-1.481,-2.923,1.032,0.004
-4204.619,1707.432,-1.482,-5.023,2.247,-0.01
-4204.568,1707.334,-1.482,-3.758,0.911,-0.006
-4204.68,1707.254,-1.48,-4.36,-0.047,0.011
-4204.542,1707.349,-1.481,-2.292,0.93,0.004
-4204.591,1707.397,-1.479,-2.463,1.297,0.016
-4204.549,1707.4,-1.48,-1.671,1.13,0.004
-4204.391,1707.478,-1.482,0.205,1.773,-0.01
-4204.292,1707.422,-1.483,1.187,0.934,-0.016
-4204.301,1707.331,-1.482,0.928,-0.14,-0.009
-4204.191,1707.16,-1.481,1.915,-1.886,0
-4204.411,1707.156,-1.482,-0.627,-1.65,-0.006
-4204.296,1707.141,-1.481,0.645,-1.564,0.002
-4204.194,1707.047,-1.48,1.605,-2.297,0.01
-4204.229,1707.137,-1.48,1.009,-1.03,0.014
-4204.303,1707.193,-1.481,0.102,-0.303,0.001
-4203.955,1707.35,-1.48,3.665,1.362,0.005
-4203.925,1707.171,-1.481,3.437,-0.685,0.004
-4203.925,1707.023,-1.481,2.935,-2.106,0.002
-4203.983,1707.082,-1.48,1.898,-1.192,0.004
-4203.909,1707.045,-1.481,2.389,-1.399,-0.003
-4203.797,1706.944,-1.482,3.188,-2.228,-0.012
-4204.104,1706.88,-1.481,-0.438,-2.562,-0.002
-4204.102,1706.922,-1.481,-0.351,-1.749,0.002
-4204.226,1707.009,-1.48,-1.578,-0.598,0.011
-4204.176,1707.092,-1.479,-0.832,0.341,0.021
-4203.875,1707.171,-1.479,2.383,1.109,0.014
-4203.85,1707.335,-1.479,2.299,2.632,0.012
-4203.813,1707.19,-1.48,2.336,0.751,0.004
-4203.719,1707.016,-1.481,2.961,-1.154,-0.006
-4203.669,1706.964,-1.482,3.041,-1.52,-0.015
-4203.67,1707.133,-1.481,2.583,0.446,-0.007
-4203.661,1707.276,-1.481,2.296,1.85,-0.008
-4203.715,1707.309,-1.481,1.4,1.924,-0.003
-4203.768,1707.381,-1.48,0.655,2.38,0.002
-4203.739,1707.215,-1.481,0.849,0.322,-0.002
-4203.675,1707.282,-1.48,1.384,0.96,0.009
-4203.919,1707.214,-1.479,-1.335,0.121,0.011
-4203.879,1707.295,-1.48,-0.728,0.941,0.007
-4203.92,1707.456,-1.479,-1.038,2.453,0.012
-4204.011,1707.457,-1.479,-1.819,2.103,0.011
-4204.187,1707.378,-1.479,-3.363,0.983,0.008
-4204.275,1707.127,-1.479,-3.774,-1.745,0.006
-4204.27,1707.067,-1.479,-3.165,-2.107,0.01
-4204.25,1707.126,-1.48,-2.497,-1.185,-0.001
-4204.274,1707.249,-1.481,-2.379,0.254,-0.016
-4204.389,1707.297,-1.482,-3.216,0.708,-0.024
-4204.361,1707.258,-1.482,-2.451,0.199,-0.02
-4204.432,1707.184,-1.482,-2.823,-0.586,-0.011
-4204.429,1707.21,-1.482,-2.375,-0.234,-0.012
-4204.385,1707.104,-1.481,-1.577,-1.296,-0.004
-4204.054,1707.094,-1.481,2.064,-1.206,0.001
-4204.184,1707.06,-1.482,0.425,-1.382,-0.007
-4204.227,1707.019,-1.481,-0.079,-1.591,-0.002
-4204.159,1707.017,-1.482,0.63,-1.384,-0.008
-4204.067,1706.907,-1.482,1.487,-2.313,-0.007
-4204.075,1706.821,-1.482,1.185,-2.854,-0.004
-4204.052,1706.767,-1.482,1.244,-2.997,-0.003
-4204.045,1706.875,-1.482,1.129,-1.441,-0.009
-4204.021,1707.051,-1.483,1.218,0.581,-0.01
-4203.873,1707.213,-1.482,2.559,2.163,-0.001
-4203.807,1707.326,-1.483,2.867,3.009,-0.014
-4203.848,1707.278,-1.483,2.019,2.074,-0.01
-4204.081,1707.323,-1.481,-0.674,2.235,0.008
-4204.04,1707.424,-1.481,-0.154,2.949,0.01
-4204.006,1707.477,-1.481,0.213,3.058,0.006
-4204.11,1707.366,-1.48,-0.887,1.466,0.014
-4204.047,1707.297,-1.479,-0.107,0.538,0.021
-4204.112,1707.38,-1.479,-0.753,1.315,0.015
-4204.054,1707.299,-1.479,-0.047,0.284,0.02
-4204.309,1707.534,-1.48,-2.67,2.662,0.005
-4204.32,1707.679,-1.481,-2.392,3.767,-0.006
-4204.312,1707.577,-1.48,-1.961,2.156,0.004
-4204.285,1707.521,-1.481,-1.384,1.262,-0.002
-4204.301,1707.502,-1.48,-1.354,0.883,0.004
-4204.371,1707.526,-1.481,-1.87,1.002,-0.004
-4204.341,1707.502,-1.481,-1.292,0.611,-0.002
-4204.378,1707.567,-1.48,-1.479,1.191,0.001
-4204.44,1707.596,-1.481,-1.901,1.313,-0.007
-4204.589,1707.6,-1.481,-3.158,1.161,-0.002
-4204.803,1707.535,-1.48,-4.886,0.324,0.008
-4204.846,1707.585,-1.482,-4.612,0.791,-0.011
-4204.973,1707.557,-1.482,-5.248,0.377,-0.014
-4205.118,1707.629,-1.482,-5.961,1.065,-0.009
-4205.446,1707.624,-1.483,-8.462,0.863,-0.016
-4205.745,1707.54,-1.484,-10.301,-0.129,-0.028
