x,y,t,0.429,2.464,-0.002
-4364.763,-1444.246,1.563,0.267,-1.734,0
-4364.732,-1444.239,1.563,0.552,-1.408,0.002
-4364.78,-1444.258,1.563,-0.027,-1.393,0.001
-4364.718,-1444.211,1.563,0.618,-0.709,-0.001
-4364.706,-1444.146,1.562,0.655,0.067,-0.004
-4364.716,-1444.019,1.562,0.45,1.362,-0.008
-4364.715,-1444.025,1.56,0.396,1.099,-0.02
-4364.69,-1443.945,1.561,0.595,1.767,-0.012
-4364.661,-1443.891,1.56,0.809,2.062,-0.022
-4364.782,-1443.862,1.56,-0.56,2.05,-0.011
-4364.91,-1443.796,1.56,-1.791,2.436,-0.009
-4364.835,-1443.84,1.56,-0.762,1.617,-0.008
-4364.82,-1443.816,1.56,-0.494,1.63,-0.008
-4364.768,-1443.852,1.561,0.116,1.015,0
-4364.861,-1443.953,1.561,-0.857,-0.169,0.004
-4364.935,-1443.984,1.562,-1.492,-0.462,0.007
-4364.85,-1443.997,1.563,-0.403,-0.531,0.016
-4364.81,-1443.957,1.562,0.077,-0.037,0.01
-4364.867,-1443.992,1.563,-0.523,-0.394,0.009
-4364.865,-1443.95,1.563,-0.429,0.097,0.008
-4364.941,-1443.919,1.562,-1.146,0.401,0.004
-4364.925,-1443.828,1.562,-0.818,1.283,0.005
-4364.929,-1443.893,1.563,-0.735,0.425,0.005
-4364.962,-1443.908,1.563,-0.966,0.199,0.01
-4364.943,-1443.978,1.563,-0.63,-0.545,0.005
-4364.998,-1443.972,1.563,-1.102,-0.408,0.007
-4364.864,-1444.028,1.562,0.441,-0.922,-0.004
-4364.814,-1444.037,1.561,0.883,-0.879,-0.011
-4364.896,-1443.862,1.562,-0.085,1.057,-0.004
-4364.848,-1443.841,1.562,0.425,1.109,-0.003
-4364.796,-1443.921,1.562,0.895,0.125,-0.001
-4364.792,-1443.943,1.562,0.803,-0.121,0.002
-4364.783,-1443.879,1.563,0.777,0.554,0.005
-4364.775,-1443.764,1.562,0.74,1.66,0
-4364.747,-1443.803,1.562,0.923,1.011,-0.002
-4364.805,-1443.905,1.562,0.193,-0.183,-0.002
-4364.833,-1443.941,1.561,-0.119,-0.525,-0.01
-4364.809,-1443.942,1.562,0.139,-0.462,-0.003
-4364.768,-1443.882,1.562,0.543,0.224,-0.003
-4364.71,-1443.85,1.561,1.052,0.523,-0.003
-4364.686,-1443.765,1.562,1.157,1.325,-0.002
-4364.634,-1443.922,1.563,1.519,-0.493,0.009
-4364.671,-1443.891,1.563,0.911,-0.105,0.007
-4364.808,-1443.893,1.563,-0.628,-0.108,0.013
-4364.824,-1443.9,1.563,-0.704,-0.166,0.008
-4364.781,-1443.99,1.563,-0.164,-1.058,0.007
-4364.851,-1443.916,1.563,-0.859,-0.14,0.002
-4364.817,-1443.88,1.562,-0.382,0.242,-0.001
-4364.848,-1443.925,1.562,-0.645,-0.258,-0.006
-4364.771,-1443.952,1.562,0.248,-0.494,-0.006
-4364.769,-1443.97,1.562,0.235,-0.604,-0.006
-4364.885,-1444.115,1.562,-1.001,-2.009,-0.004
-4364.931,-1443.994,1.562,-1.328,-0.472,-0.003
-4364.973,-1444.009,1.561,-1.559,-0.556,-0.01
-4364.978,-1443.951,1.561,-1.381,0.121,-0.007
-4364.96,-1443.946,1.561,-0.998,0.161,-0.009
-4364.902,-1443.879,1.561,-0.254,0.821,-0.006
-4364.832,-1443.88,1.561,0.511,0.698,-0.001
-4364.944,-1443.878,1.562,-0.724,0.613,0.008
-4365.008,-1443.875,1.563,-1.275,0.553,0.009
-4364.954,-1443.946,1.563,-0.531,-0.264,0.009
-4364.835,-1443.889,1.562,0.77,0.365,0.003
-4364.869,-1443.881,1.562,0.314,0.39,0.004
-4364.879,-1443.847,1.563,0.161,0.686,0.005
-4364.862,-1443.869,1.563,0.309,0.362,0.004
-4364.717,-1443.866,1.562,1.76,0.337,0
-4364.667,-1443.933,1.562,2.01,-0.406,0
-4364.635,-1443.976,1.562,2.043,-0.789,0.003
-4364.691,-1443.91,1.563,1.165,0.006,0.005
-4364.683,-1444.036,1.563,1.08,-1.287,0.006
-4364.662,-1444.108,1.562,1.137,-1.838,0.001
-4364.621,-1444.064,1.563,1.398,-1.114,0.005
-4364.569,-1444.044,1.563,1.727,-0.743,0.005
-4364.6,-1444.089,1.563,1.154,-1.098,0.006
-4364.681,-1444.068,1.563,0.148,-0.722,0.005
-4364.69,-1444.023,1.563,0.034,-0.153,-0.001
-4364.756,-1444.034,1.562,-0.653,-0.243,-0.008
-4364.844,-1444.059,1.562,-1.466,-0.469,-0.003
-4364.927,-1444.128,1.563,-2.103,-1.11,0
-4365.005,-1444.128,1.563,-2.6,-0.945,0
