x,y,t,0.429,2.464,-0.002
-4047.648,266.179,1.56,31.51,167.928,-0.005
-4046.952,268.631,1.56,34.048,168.471,0.002
-4046.45,271.287,1.561,34.202,171.04,0.01
-4045.998,273.781,1.561,33.834,171.558,0.01
-4045.675,276.402,1.562,32.178,173.311,0.017
-4045.109,278.816,1.563,33.278,172.669,0.024
-4044.841,281.561,1.562,31.137,175.534,0.005
-4044.459,284.064,1.562,30.487,175.486,0.011
-4044.153,286.353,1.561,29.159,173.25,0.001
-4043.754,288.915,1.56,28.974,174.144,-0.008
-4043.523,291.411,1.559,27.089,174.226,-0.018
-4043.373,293.256,1.558,24.656,167.591,-0.026
-4042.865,295.854,1.559,26.258,169.699,-0.016
-4042.322,298.304,1.56,27.988,169.956,-0.004
-4041.735,300.606,1.56,29.913,168.668,-0.002
-4041.146,302.862,1.561,31.584,167.078,0.01
-4040.769,305.305,1.562,30.813,167.657,0.019
-4040.502,307.604,1.562,29.028,166.673,0.015
-4040.115,309.968,1.56,28.752,166.5,-0.003
-4040.012,312.338,1.559,25.574,166.409,-0.012
-4039.677,314.717,1.559,25.265,166.431,-0.015
-4039.526,317.198,1.558,23.105,167.491,-0.025
-4039.089,319.489,1.557,24.209,166.439,-0.029
-4038.754,321.169,1.556,24.094,159.264,-0.033
-4038.357,323.915,1.556,24.641,164.107,-0.03
-4038.07,326.471,1.556,23.967,166.284,-0.024
-4037.541,329.121,1.556,25.892,169.108,-0.018
-4037.095,331.863,1.555,26.675,172.469,-0.023
-4036.765,334.737,1.556,26.146,176.696,-0.012
-4036.334,337.295,1.557,26.739,177.037,-0.004
-4036.095,340.021,1.557,25.269,179.065,0.002
-4035.702,342.86,1.556,25.592,181.956,-0.009
-4035.084,345.047,1.555,28.197,177.71,-0.022
-4034.779,347.007,1.556,27.184,171.752,-0.006
-4034.595,348.525,1.558,25.078,162.123,0.016
-4034.542,349.084,1.564,21.938,144.031,0.063
-4034.565,349.245,1.568,18.474,124.513,0.096
-4034.674,348.701,1.571,14.637,100.599,0.115
-4034.664,347.745,1.573,12.587,75.964,0.111
-4034.762,346.812,1.573,9.731,55.187,0.1
-4034.94,345.576,1.572,6.47,34.342,0.068
-4035.151,344.418,1.568,3.344,17.372,0.02
-4035.392,343.627,1.563,0.372,6.672,-0.022
-4035.552,342.938,1.561,-1.338,-1.399,-0.038
-4035.517,342.446,1.561,-0.777,-6.258,-0.038
-4035.648,342.026,1.56,-2.005,-9.661,-0.036
-4035.456,341.653,1.56,0.264,-12.078,-0.033
-4035.526,341.174,1.559,-0.502,-15.238,-0.041
-4035.677,340.987,1.558,-1.974,-14.916,-0.045
-4035.642,340.907,1.557,-1.328,-13.544,-0.043
-4035.608,340.615,1.557,-0.782,-14.565,-0.04
-4035.789,340.257,1.56,-2.533,-16.11,-0.005
-4036.028,339.25,1.564,-4.616,-24.107,0.038
-4036.329,337.965,1.569,-7.039,-33.787,0.078
-4037.307,335.085,1.57,-16.072,-58.471,0.071
-4038.058,331.57,1.571,-21.44,-86.056,0.075
-4038.782,327.697,1.571,-25.745,-113.266,0.063
-4039.164,323.86,1.568,-25.88,-136.116,0.026
-4039.817,319.903,1.565,-28.805,-156.833,-0.013
-4040.468,316.347,1.561,-31.267,-170.369,-0.047
-4041.114,313.067,1.556,-33.321,-179.082,-0.08
-4041.714,309.885,1.555,-34.597,-185.505,-0.081
-4042.136,306.876,1.555,-33.852,-189.198,-0.073
-4042.74,303.764,1.556,-35.092,-193.414,-0.054
-4043.381,301.115,1.557,-36.53,-192.236,-0.032
-4043.87,299.171,1.558,-36.187,-183.976,-0.015
-4044.593,296.433,1.559,-38.316,-185.112,-0.007
-4045.213,293.871,1.559,-39.062,-184.256,-0.004
-4045.683,291.054,1.561,-38.151,-186.165,0.013
-4046.041,288.401,1.561,-36.226,-186.091,0.011
-4046.467,285.48,1.561,-35.29,-188.799,0.014
-4046.791,282.977,1.562,-33.433,-186.799,0.014
-4047.069,280.323,1.562,-31.376,-186.648,0.014
-4047.533,277.61,1.562,-31.54,-187.129,0.014
-4048.08,275.495,1.561,-32.53,-181.379,0.004
-4048.646,272.961,1.562,-33.575,-180.793,0.007
-4049.304,270.648,1.561,-35.409,-178.021,0.001
-4049.838,268.148,1.56,-35.703,-177.575,-0.008
-4050.338,265.583,1.561,-35.601,-177.858,0.006
-4050.798,263.101,1.562,-35.1,-177.256,0.012
-4051.451,260.538,1.563,-36.661,-177.578,0.013
-4052.033,258.146,1.563,-37.263,-176.086,0.014
-4052.524,255.491,1.564,-36.837,-177.523,0.023
-4052.798,253,1.564,-34.232,-177.058,0.02
-4053.196,250.461,1.564,-33.293,-177.155,0.019
-4053.92,247.935,1.565,-35.851,-177.1,0.019
-4054.539,245.469,1.564,-36.96,-176.449,0.015
-4055.227,243.013,1.563,-38.598,-175.78,0.001
-4055.929,240.788,1.562,-40.153,-172.834,-0.014
-4056.515,238.266,1.561,-40.279,-173.376,-0.019
-4057.106,235.799,1.56,-40.438,-173.278,-0.023
-4057.517,233.188,1.559,-38.724,-174.677,-0.026
-4057.888,230.523,1.56,-36.849,-176.423,-0.017
-4058.375,227.976,1.56,-36.437,-176.694,-0.015
-4058.69,225.318,1.561,-34.333,-178.074,-0.006
-4058.952,222.881,1.56,-31.978,-176.976,-0.011
-4059.174,220.332,1.559,-29.561,-177.19,-0.014
-4059.227,217.75,1.559,-25.753,-177.705,-0.021
-4059.419,215.346,1.558,-23.946,-176.325,-0.022
-4059.843,212.89,1.557,-24.79,-175.672,-0.025
-4060.238,210.445,1.558,-25.211,-175.006,-0.017
-4061.034,207.415,1.558,-29.692,-180.462,-0.014
-4061.696,204.197,1.559,-32.143,-187.048,-0.005
-4062.412,201.082,1.558,-34.788,-191.61,-0.009
-4062.867,198.224,1.558,-34.356,-192.853,-0.008
-4063.244,195.261,1.56,-33.188,-194.999,0.012
-4063.699,192.678,1.56,-32.984,-192.903,0.008
-4064.22,189.995,1.56,-33.502,-192.158,0.007
-4064.659,187.444,1.56,-33.096,-190.16,0.01
-4064.967,184.993,1.561,-31.399,-187.425,0.019
-4065.517,182.47,1.562,-32.442,-185.837,0.024
-4065.922,180.115,1.565,-31.842,-182.748,0.043
-4066.337,177.507,1.564,-31.424,-182.727,0.031
-4066.648,175.163,1.564,-30.013,-179.982,0.028
-4067.15,172.388,1.563,-30.758,-182.077,0.013
-4067.563,169.999,1.562,-30.496,-179.899,0.002
-4068.052,167.327,1.561,-31.035,-180.944,-0.005
-4068.564,164.808,1.562,-31.743,-180.266,0.001
-4069.101,162.295,1.561,-32.61,-179.627,-0.005
-4069.578,159.797,1.561,-32.717,-178.925,-0.003
-4069.842,157.263,1.563,-30.622,-178.698,0.014
-4070.208,154.809,1.564,-29.886,-177.679,0.017
-4070.613,152.455,1.564,-29.67,-175.783,0.013
-4070.888,150.143,1.563,-28.136,-173.734,0.008
-4071.076,147.741,1.563,-25.935,-172.906,0.001
-4071.356,145.298,1.562,-25.004,-172.628,-0.002
-4071.528,142.765,1.563,-23.091,-173.324,0.008
-4071.883,140.291,1.563,-23.353,-173.297,0.007
-4072.352,137.596,1.562,-24.741,-175.561,-0.007
-4072.719,135.136,1.561,-24.884,-175.062,-0.011
-4073.231,132.585,1.562,-26.501,-175.582,-0.004
-4073.642,130.029,1.561,-26.828,-176.068,-0.009
-4074.035,127.761,1.562,-26.926,-173.519,-0.005
-4074.134,125.282,1.563,-23.984,-173.522,0.007
-4074.193,123.174,1.563,-21.068,-169.705,0.011
-4074.206,121.657,1.564,-18.104,-160.364,0.013
-4074.217,119.266,1.564,-15.556,-161.4,0.009
-4073.984,116.94,1.564,-10.873,-161.606,0.014
-4078.963,107.555,1.558,-60.527,-234.454,-0.049
-4083.278,99.181,1.551,-96.042,-286.185,-0.109
-4086.918,91.845,1.545,-119.398,-319.616,-0.145
-4090.017,84.936,1.542,-133.734,-343.73,-0.156
-4092.705,78.583,1.539,-141.744,-358.581,-0.16
-4094.931,73.326,1.537,-143.816,-359.974,-0.149
-4096.813,68.868,1.536,-142.035,-352.919,-0.136
-4098.272,64.971,1.536,-136.17,-341.138,-0.121
-4099.263,61.606,1.535,-126.346,-325.609,-0.109
-4100.015,58.745,1.534,-115.506,-307.18,-0.104
-4100.588,56.256,1.535,-104.417,-287.625,-0.081
-4106.13,47.001,1.537,-146.114,-340.599,-0.054
-4105.536,45.877,1.54,-118.506,-302.08,-0.018
-4104.894,44.677,1.543,-94.473,-270.011,0.018
-4104.25,43.525,1.546,-73.943,-242.157,0.038
-4103.473,42.375,1.547,-55.079,-218.387,0.05
-4102.74,41,1.55,-39.434,-200.425,0.068
-4102.092,39.643,1.551,-26.964,-184.914,0.071
-4101.474,38.254,1.553,-16.627,-172.02,0.072
-4100.939,36.959,1.553,-8.677,-160.052,0.066
-4100.508,35.439,1.555,-2.963,-152.163,0.071
-4100.046,33.797,1.555,2.224,-146.689,0.062
-4099.63,31.987,1.555,6.184,-143.754,0.052
-4099.287,30.057,1.555,8.807,-142.474,0.049
-4098.949,28.266,1.555,10.989,-139.961,0.04
-4098.711,26.208,1.555,11.817,-140.569,0.034
-4098.439,23.93,1.555,12.884,-143.346,0.027
-4098.252,21.51,1.555,12.911,-147.173,0.026
-4098.366,19.219,1.555,9.847,-149.117,0.021
-4098.642,16.77,1.555,5.551,-152.394,0.016
-4099.046,14.187,1.554,0.575,-156.574,0.008
-4099.579,11.205,1.555,-4.997,-164.246,0.014
-4100.257,7.844,1.557,-11.24,-174.693,0.033
-4101.185,3.816,1.56,-19.141,-190.467,0.059
-4102.135,-0.952,1.564,-26.101,-211.545,0.084
-4103.195,-6.304,1.564,-33.179,-235.532,0.069
-4104.006,-12.101,1.56,-36.648,-260.563,0.023
-4109.812,-24.876,1.554,-91.035,-353.76,-0.032
-4109.959,-29.656,1.547,-79.154,-350.939,-0.094
-4109.978,-34.317,1.541,-67.708,-347.32,-0.141
-4109.938,-39.663,1.537,-57.335,-351.272,-0.158
-4109.89,-44.946,1.534,-48.414,-353.995,-0.157
-4109.927,-50.148,1.534,-41.678,-355.492,-0.136
-4110.11,-55.329,1.535,-37.428,-356.542,-0.111
-4110.461,-60.431,1.536,-35.536,-356.63,-0.084
-4111.018,-65.626,1.537,-36.042,-357.667,-0.065
-4111.6,-70.791,1.537,-36.735,-358.238,-0.05
-4112.347,-75.941,1.538,-39.026,-358.57,-0.034
-4112.889,-81.222,1.539,-38.865,-360.198,-0.025
-4113.777,-86.65,1.539,-42.286,-363.11,-0.016
-4114.724,-91.819,1.541,-45.823,-362.919,0.007
-4115.812,-96.846,1.542,-50.288,-361.295,0.016
-4116.774,-101.866,1.543,-52.788,-359.84,0.022
-4117.816,-106.855,1.544,-55.756,-358.278,0.023
-4119.007,-112.402,1.543,-59.815,-362.692,0.017
-4120.218,-117.708,1.545,-63.482,-363.977,0.026
-4121.453,-122.885,1.545,-66.859,-363.748,0.025
-4122.507,-128.008,1.546,-67.88,-362.993,0.028
-4123.517,-133.236,1.547,-68.288,-363.429,0.04
-4124.566,-138.396,1.548,-69.057,-363.1,0.044
-4125.638,-143.302,1.55,-69.926,-360.208,0.05
-4126.594,-148.23,1.551,-69.487,-357.962,0.056
-4127.598,-153.131,1.552,-69.607,-355.776,0.056
-4128.615,-157.977,1.553,-69.84,-353.335,0.059
-4129.47,-162.874,1.553,-68.373,-351.786,0.045
-4130.374,-167.59,1.552,-67.615,-348.605,0.038
-4131.275,-172.315,1.553,-66.953,-345.976,0.036
-4132.205,-177.116,1.553,-66.681,-344.516,0.031
-4133.1,-181.951,1.551,-66.087,-343.629,0.012
-4133.931,-186.967,1.552,-64.922,-344.727,0.017
-4134.637,-192.003,1.551,-62.643,-345.876,0.005
-4135.451,-196.979,1.551,-61.806,-346.231,0.004
-4136.261,-201.955,1.551,-61.055,-346.544,0.005
-4137.159,-206.891,1.552,-61.325,-346.393,0.017
-4138.011,-211.908,1.552,-61.072,-347.097,0.005
-4138.885,-216.914,1.551,-61.089,-347.583,0.003
-4139.677,-221.927,1.551,-60.261,-348.069,0.002
-4140.434,-226.967,1.551,-59.186,-348.772,-0.004
-4141.034,-231.999,1.551,-56.66,-349.282,0.004
-4141.721,-236.948,1.551,-55.402,-348.856,0.002
-4147.356,-248.298,1.551,-105.271,-414.393,-0.005
-4152.211,-258.584,1.549,-139.766,-459.344,-0.016
-4156.383,-267.741,1.549,-162.161,-486.063,-0.014
-4159.938,-276.333,1.549,-174.907,-503.026,-0.014
-4162.807,-284.159,1.55,-178.714,-509.62,-0.005
-4165.184,-291.091,1.551,-176.908,-506.029,0.002
-4167.142,-297.483,1.551,-171.048,-497.411,0.004
-4168.739,-303.661,1.552,-162.336,-487.865,0.013
-4169.915,-309.424,1.552,-150.561,-475.438,0.018
-4170.945,-314.618,1.553,-139.031,-458.993,0.02
-4171.574,-319.74,1.554,-125.053,-444.219,0.023
-4172.155,-324.598,1.554,-112.644,-428.901,0.026
-4172.548,-329.436,1.555,-100.127,-415.626,0.028
-4173.058,-334.148,1.555,-90.651,-403.013,0.029
-4173.456,-338.759,1.556,-81.411,-391.209,0.028
-4173.688,-343.548,1.555,-71.835,-382.976,0.017
-4174.075,-348.102,1.556,-65.245,-373.535,0.019
-4174.563,-352.84,1.556,-60.686,-367.375,0.019
-4175.059,-357.63,1.556,-56.86,-362.659,0.021
-4175.466,-362.514,1.556,-52.69,-359.608,0.013
-4176.141,-367.296,1.555,-51.891,-355.943,0.005
-4176.622,-372.166,1.557,-49.207,-353.736,0.022
-4177.189,-376.981,1.556,-47.814,-351.286,0.012
-4177.941,-381.759,1.556,-48.515,-348.81,0.008
-4178.78,-386.646,1.555,-50.022,-347.817,-0.004
-4179.704,-391.593,1.554,-52.171,-347.593,-0.01
-4180.609,-396.591,1.554,-53.817,-347.929,-0.011
-4181.551,-401.449,1.554,-55.601,-346.771,-0.009
-4182.495,-406.335,1.555,-57.139,-346.069,0.001
-4183.293,-411.226,1.555,-56.956,-345.523,0.001
-4184.154,-416.185,1.555,-57.439,-345.764,-0.001
-4185.119,-421.339,1.554,-58.931,-347.971,-0.007
-4186.402,-427.753,1.554,-63.47,-362.825,-0.004
-4187.725,-433.865,1.554,-67.755,-372.393,-0.005
-4188.919,-439.785,1.555,-70.085,-378.563,0.004
-4190.009,-445.682,1.557,-71,-383.602,0.02
-4191.303,-451.284,1.557,-73.873,-384.86,0.019
-4192.584,-456.579,1.557,-76.205,-382.761,0.014
-4193.915,-461.698,1.557,-78.697,-379.175,0.014
-4195.128,-466.847,1.556,-79.614,-376.413,0.007
-4196.272,-471.999,1.555,-79.682,-374.093,-0.008
-4197.496,-476.868,1.555,-80.557,-369.209,-0.01
-4198.648,-481.647,1.554,-80.575,-364.107,-0.015
-4199.898,-486.4,1.553,-81.591,-359.484,-0.019
-4201.259,-491.151,1.551,-83.602,-355.533,-0.04
-4202.504,-495.985,1.55,-84.126,-353.007,-0.043
-4203.745,-500.788,1.549,-84.527,-350.541,-0.045
-4204.986,-505.635,1.549,-84.872,-348.882,-0.037
-4206.242,-510.737,1.552,-85.319,-350.1,-0.005
-4207.551,-516.32,1.556,-86.253,-356.082,0.032
-4209,-522.446,1.559,-88.483,-366.78,0.054
-4210.293,-529.11,1.561,-88.777,-381.439,0.066
-4211.73,-536.362,1.562,-90.52,-400.004,0.071
-4213.192,-543.825,1.562,-92.257,-418.003,0.064
-4214.568,-551.587,1.562,-92.852,-436.434,0.049
-4215.871,-559.664,1.561,-92.606,-455.404,0.035
-4217.118,-567.78,1.561,-91.832,-471.977,0.025
-4218.369,-575.88,1.56,-91.204,-485.958,0.014
-4219.627,-583.968,1.559,-90.74,-497.745,0.003
-4220.957,-591.919,1.557,-91.084,-506.401,-0.012
-4222.112,-599.979,1.557,-89.58,-514.901,-0.013
-4223.392,-607.909,1.557,-89.579,-520.812,-0.01
-4224.554,-615.698,1.557,-88.37,-524.408,-0.016
-4225.757,-623.604,1.556,-87.758,-528.675,-0.018
-4227.156,-631.256,1.555,-89.262,-529.698,-0.021
-4228.646,-638.906,1.555,-91.476,-530.547,-0.022
-4230.114,-646.482,1.556,-93.13,-530.51,-0.01
-4231.48,-654.073,1.556,-93.501,-530.641,-0.005
-4232.96,-661.629,1.558,-94.983,-530.385,0.015
-4234.574,-669.156,1.558,-97.627,-529.872,0.008
-4236.127,-676.621,1.558,-99.259,-528.794,0.009
-4237.656,-684.149,1.558,-100.396,-528.524,0.007
-4239.472,-691.641,1.558,-104.328,-527.925,0.007
-4241.339,-698.979,1.558,-108.209,-525.833,0.001
-4242.981,-706.169,1.558,-109.203,-522.514,0.005
-4244.734,-713.512,1.558,-111.185,-521.26,0.001
-4246.247,-720.886,1.558,-110.401,-520.521,0.009
-4248.007,-728.309,1.558,-112.287,-520.384,0.001
-4249.904,-735.598,1.557,-115.306,-518.892,-0.006
-4251.795,-742.881,1.557,-117.812,-517.554,-0.007
-4253.88,-750.296,1.557,-121.95,-517.778,-0.009
-4255.896,-757.918,1.555,-124.779,-520.094,-0.02
-4257.85,-765.498,1.553,-126.537,-521.635,-0.035
-4260.135,-773.237,1.551,-131.449,-524.589,-0.055
-4262.443,-780.888,1.549,-135.884,-526.209,-0.064
-4264.956,-788.697,1.549,-141.767,-529.209,-0.056
-4267.6,-796.516,1.547,-148.13,-531.871,-0.068
-4270.231,-804.327,1.546,-153.439,-534.067,-0.063
-4272.917,-812.026,1.547,-158.518,-534.779,-0.043
-4275.521,-819.814,1.547,-162.015,-536.307,-0.043
-4278.294,-827.595,1.547,-166.741,-537.544,-0.034
-4281.094,-835.213,1.549,-171.036,-536.91,-0.012
-4283.653,-842.911,1.55,-172.229,-537.192,-0.001
-4286.176,-850.441,1.55,-172.873,-535.715,0.006
-4288.58,-857.696,1.552,-172.193,-531.613,0.019
-4290.82,-864.992,1.554,-169.937,-528.539,0.033
-4292.903,-872.349,1.554,-166.384,-526.544,0.033
-4294.904,-879.729,1.554,-162.515,-525.091,0.031
-4297.291,-888.97,1.553,-163.192,-542.997,0.017
-4299.459,-897.963,1.552,-161.506,-555.717,0.006
-4301.329,-906.823,1.553,-157,-565.202,0.006
-4303.14,-915.267,1.552,-152.564,-569.005,-0.004
-4304.747,-923.646,1.55,-146.668,-571.58,-0.016
-4306.417,-931.887,1.549,-142.283,-572.36,-0.03
-4307.996,-939.856,1.548,-137.616,-570.221,-0.034
-4309.489,-947.773,1.546,-132.755,-567.863,-0.04
-4310.992,-955.59,1.546,-128.7,-564.827,-0.034
-4312.702,-963.334,1.545,-127.38,-561.484,-0.044
-4314.372,-971.114,1.544,-125.836,-559,-0.048
-4315.974,-978.838,1.543,-123.816,-556.303,-0.05
-4317.748,-986.557,1.542,-123.877,-553.958,-0.052
-4319.625,-994.151,1.541,-124.987,-550.663,-0.049
-4321.196,-1001.647,1.539,-122.77,-546.846,-0.066
-4322.889,-1009.185,1.539,-122.147,-544.027,-0.053
-4324.63,-1016.734,1.539,-122.104,-541.735,-0.048
-4326.524,-1024.233,1.539,-123.649,-539.26,-0.038
-4328.091,-1031.774,1.54,-121.592,-537.589,-0.023
-4329.75,-1039.403,1.541,-120.786,-537.069,-0.013
-4331.461,-1047.044,1.542,-120.645,-536.746,0.002
-4333.227,-1054.693,1.544,-121.073,-536.548,0.02
-4334.771,-1062.368,1.545,-119.159,-536.656,0.028
-4336.24,-1070.015,1.545,-116.768,-536.45,0.024
-4337.916,-1077.678,1.545,-116.846,-536.447,0.02
-4339.622,-1085.448,1.546,-117.225,-537.539,0.024
-4341.17,-1093.156,1.546,-115.917,-537.835,0.024
-4342.692,-1100.815,1.548,-114.539,-537.583,0.036
-4344.296,-1108.31,1.547,-114.207,-535.685,0.022
-4345.973,-1115.821,1.547,-114.677,-534.231,0.023
-4347.636,-1123.546,1.548,-114.928,-535.186,0.025
-4349.26,-1131.339,1.548,-114.745,-536.701,0.023
-4350.821,-1139.056,1.547,-113.948,-537.213,0.011
-4352.579,-1146.772,1.547,-115.285,-537.643,0.007
-4354.248,-1154.43,1.546,-115.507,-537.411,0
-4355.744,-1162.084,1.547,-113.92,-537.17,0.001
-4357.283,-1169.837,1.546,-113.013,-537.989,-0.002
-4358.894,-1177.55,1.546,-112.975,-538.271,-0.007
-4360.521,-1185.326,1.545,-113.117,-539.161,-0.013
-4362.154,-1193.005,1.545,-113.286,-538.92,-0.008
-4363.611,-1200.806,1.545,-111.628,-539.969,-0.013
-4365.164,-1208.449,1.544,-111.194,-539.242,-0.017
-4366.703,-1216.196,1.544,-110.686,-539.687,-0.019
-4368.484,-1223.983,1.544,-112.741,-540.486,-0.013
-4370.019,-1231.725,1.544,-111.965,-540.702,-0.013
-4371.609,-1239.414,1.543,-111.87,-540.329,-0.015
-4373.257,-1247.163,1.543,-112.386,-540.643,-0.019
-4375.037,-1254.871,1.543,-114.175,-540.483,-0.008
-4376.655,-1262.596,1.544,-114.04,-540.52,-0.004
-4378.3,-1270.233,1.542,-114.208,-539.648,-0.018
-4380.023,-1277.852,1.543,-115.153,-538.722,-0.004
-4381.793,-1285.448,1.544,-116.442,-537.687,0.002
-4383.481,-1293.013,1.545,-116.691,-536.5,0.012
-4385.025,-1300.661,1.545,-115.42,-536.331,0.007
-4386.831,-1308.217,1.544,-117.033,-535.236,-0.003
-4388.664,-1315.759,1.544,-118.693,-534.166,0.002
-4390.304,-1323.363,1.545,-118.126,-533.892,0.01
-4391.963,-1330.888,1.546,-117.831,-532.838,0.015
-4393.621,-1338.534,1.545,-117.573,-533.186,0.004
-4395.317,-1346.21,1.545,-117.744,-533.798,0.003
-4397.113,-1353.893,1.546,-118.917,-534.385,0.013
-4398.672,-1361.573,1.547,-117.471,-534.857,0.02
-4400.312,-1369.159,1.546,-117.079,-534.296,0.011
-4401.869,-1376.817,1.546,-115.886,-534.554,0.003
-4403.583,-1384.576,1.547,-116.492,-535.81,0.012
-4405.159,-1392.422,1.548,-115.589,-537.783,0.027
-4406.616,-1400.167,1.549,-113.58,-538.433,0.031
-4408.809,-1410.036,1.549,-119.461,-560.841,0.024
-4410.833,-1419.527,1.549,-122.718,-576.066,0.021
-4412.588,-1428.705,1.549,-122.742,-585.829,0.019
-4414.033,-1437.824,1.551,-119.571,-593.554,0.031
-4415.535,-1446.735,1.55,-117.441,-597.996,0.023
-4417.286,-1455.351,1.551,-118.196,-598.747,0.029
-4419.041,-1463.814,1.552,-118.882,-597.815,0.027
-4420.532,-1472.004,1.551,-116.748,-594.213,0.021
-4421.912,-1480.165,1.551,-113.786,-590.833,0.017
-4423.384,-1488.154,1.549,-112.207,-586.19,-0.006
-4424.903,-1496.101,1.548,-111.342,-581.794,-0.012
-4426.295,-1503.931,1.549,-109.297,-576.839,-0.006
-4427.776,-1511.612,1.549,-108.476,-571.073,0
-4429.175,-1519.403,1.55,-106.921,-567.302,0.006
-4430.64,-1527.128,1.55,-106.275,-563.394,0.009
-4432.223,-1534.627,1.55,-106.943,-557.736,0.002
-4433.789,-1542.251,1.55,-107.333,-554.201,0.004
-4435.368,-1549.859,1.55,-107.807,-551.016,0.004
-4436.69,-1557.569,1.55,-105.567,-549.354,0.004
-4438.158,-1565.307,1.549,-105.149,-548.222,-0.006
-4439.509,-1572.757,1.545,-103.596,-544.293,-0.045
-4440.994,-1579.64,1.536,-103.648,-535.101,-0.122
-4442.402,-1585.729,1.524,-102.896,-519.094,-0.218
-4443.49,-1590.784,1.506,-98.968,-494.788,-0.343
-4444.323,-1594.551,1.491,-92.985,-460.8,-0.428
-4444.911,-1596.537,1.482,-85.369,-413.477,-0.448
-4445.089,-1596.979,1.477,-74.643,-357.223,-0.429
-4445.088,-1596.009,1.474,-63.657,-294.695,-0.393
-4445.03,-1594.038,1.474,-53.701,-231.071,-0.339
-4444.709,-1591.642,1.476,-42.496,-172.424,-0.269
-4444.308,-1588.817,1.482,-32.118,-117.973,-0.178
-4443.824,-1585.996,1.491,-22.406,-71.589,-0.066
-4443.344,-1583.454,1.503,-14.171,-34.894,0.052
-4442.908,-1581.192,1.516,-7.603,-6.469,0.172
-4442.532,-1579.356,1.527,-2.611,13.375,0.252
-4442.195,-1577.81,1.536,1.239,27.328,0.306
-4442.013,-1576.314,1.543,2.936,38.709,0.328
-4441.806,-1574.967,1.548,4.636,46.889,0.327
-4441.544,-1574.122,1.551,6.643,48.686,0.317
-4441.227,-1573.352,1.555,8.934,49.452,0.304
-4441.092,-1572.792,1.557,9.012,47.952,0.279
-4441.069,-1572.399,1.558,7.919,44.942,0.247
-4440.911,-1572.213,1.559,8.379,40.247,0.217
-4440.86,-1572.012,1.559,7.679,36.4,0.186
-4440.726,-1572.042,1.559,7.923,30.737,0.158
-4440.651,-1572.066,1.559,7.53,25.968,0.131
-4440.651,-1572.188,1.559,6.422,20.893,0.113
-4440.697,-1572.213,1.559,5.007,17.558,0.1
-4440.668,-1572.229,1.558,4.572,14.817,0.074
-4440.645,-1572.384,1.558,4.138,11.041,0.059
-4440.792,-1572.521,1.557,2.007,8.008,0.046
-4440.818,-1572.649,1.557,1.45,5.506,0.034
-4440.846,-1572.71,1.554,0.944,4.069,0.01
-4440.873,-1572.755,1.555,0.532,3.014,0.012
-4440.872,-1572.968,1.555,0.467,0.379,0.007
-4440.909,-1573.043,1.554,0.018,-0.457,0.003
-4440.936,-1573.069,1.555,-0.268,-0.651,0.01
-4441.022,-1573.102,1.554,-1.118,-0.897,-0.001
-4440.953,-1573.15,1.554,-0.241,-1.255,0.003
-4440.9,-1573.249,1.554,0.337,-2.096,0.003
-4440.834,-1573.342,1.555,0.975,-2.747,0.003
-4440.936,-1573.461,1.554,-0.215,-3.563,-0.006
-4440.961,-1573.405,1.554,-0.45,-2.463,0.002
-4440.936,-1573.432,1.555,-0.125,-2.377,0.006
-4440.874,-1573.454,1.555,0.533,-2.253,0.005
-4440.883,-1573.387,1.555,0.363,-1.231,0.002
-4440.906,-1573.417,1.555,0.072,-1.362,0.002
-4440.869,-1573.383,1.554,0.448,-0.81,-0.001
-4440.791,-1573.384,1.555,1.182,-0.703,0.007
-4440.849,-1573.422,1.555,0.413,-0.989,0.005
-4440.888,-1573.474,1.555,-0.052,-1.383,0.006
-4440.933,-1573.477,1.555,-0.511,-1.205,0.005
-4440.913,-1573.474,1.555,-0.23,-0.999,0.001
-4440.996,-1573.328,1.555,-1.051,0.647,0.004
-4440.908,-1573.251,1.556,0.013,1.347,0.013
-4441.005,-1573.149,1.556,-0.995,2.199,0.005
-4441.002,-1573.075,1.555,-0.817,2.633,0.002
-4440.877,-1573.153,1.555,0.595,1.449,-0.003
-4440.962,-1573.124,1.555,-0.368,1.535,-0.001
-4440.92,-1573.211,1.555,0.119,0.413,-0.001
-4440.911,-1573.253,1.555,0.199,-0.084,0.001
-4440.947,-1573.157,1.556,-0.204,0.922,0.011
-4440.986,-1573.138,1.557,-0.583,0.981,0.015
-4440.912,-1573.123,1.557,0.272,0.992,0.01
-4440.843,-1573.135,1.556,0.944,0.724,0.003
-4440.811,-1573.057,1.557,1.133,1.42,0.008
-4440.884,-1573.11,1.557,0.217,0.661,0.009
-4440.792,-1573.088,1.557,1.128,0.792,0.012
-4440.711,-1573.192,1.557,1.798,-0.399,0.009
-4440.636,-1573.182,1.558,2.308,-0.239,0.012
-4440.611,-1573.276,1.558,2.224,-1.166,0.015
-4440.673,-1573.314,1.558,1.258,-1.388,0.009
-4440.679,-1573.324,1.557,1.008,-1.285,0.005
-4440.683,-1573.29,1.558,0.82,-0.751,0.007
-4440.68,-1573.222,1.558,0.735,0.061,0.006
-4440.75,-1573.24,1.558,-0.091,-0.132,0.006
-4440.69,-1573.371,1.558,0.533,-1.459,0.005
-4440.745,-1573.353,1.558,-0.114,-1.065,0.002
-4440.816,-1573.351,1.558,-0.83,-0.882,0.002
