Index,Time,debug_X,debug_Y,((robot).imu)->data[10]
2108,2.108322,291.5,-159,-10.0799561
2109,2.109326,291.5,-159,-10.0799561
2110,2.110325,291.5,-159,-10.0799561
2111,2.111329,291.5,-159,-10.0799561
2112,2.112328,291.5,-159,-10.0799561
2113,2.113323,291.5,-159,-10.0799561
2114,2.114329,291.5,-159,-10.0799561
2115,2.115341,291.5,-159,-10.0799561
2116,2.116328,291.5,-159,-10.0799561
2117,2.117322,291.5,-159,-10.0799561
2118,2.118325,291.5,-159,-10.0799561
2119,2.119323,291.5,-159,-10.0799561
2120,2.120326,291.5,-159,-10.0799561
2121,2.121325,291.5,-159,-10.0799561
2122,2.122328,291.5,-159,-10.0799561
2123,2.123338,291.5,-159,-10.0799561
2124,2.124325,291.5,-159,-10.0799561
2125,2.125342,291.5,-159,-10.0799561
2126,2.126322,291.5,-159,-10.0799561
2127,2.127323,291.5,-159,-10.0799561
2128,2.128326,291.5,-159,-10.0799561
2129,2.129325,291.5,-159,-10.0799561
2130,2.130328,291.5,-159,-10.0799561
2131,2.131326,291.5,-159,-10.0799561
2132,2.132329,291.5,-159,-10.0799561
2133,2.133328,291.5,-159,-10.0799561
2134,2.134323,291.5,-159,-10.0799561
2135,2.135348,291.5,-159,-10.0799561
2136,2.136322,291.5,-159,-10.0799561
2137,2.137328,291.5,-159,-10.0799561
2138,2.138327,291.5,-159,-10.0799561
2139,2.139322,291.5,-159,-10.0799561
2140,2.140328,291.5,-159,-10.0799561
2141,2.141323,291.5,-159,-10.0799561
2142,2.142322,291.5,-159,-10.0799561
2143,2.143325,291.5,-159,-10.0799561
2144,2.144323,291.5,-159,-10.0799561
2145,2.145336,291.5,-159,-10.0799561
2146,2.146327,291.5,-159,-10.0799561
2147,2.147325,291.5,-159,-10.0799561
2148,2.148324,291.5,-159,-10.0799561
2149,2.149328,291.5,-159,-10.0799561
2150,2.150327,291.5,-159,-10.0799561
2151,2.151322,291.5,-159,-10.0799561
2152,2.152322,291.5,-159,-10.0799561
2153,2.153325,291.5,-159,-10.0799561
2154,2.154325,291.5,-159,-10.0799561
2155,2.155328,291.5,-159,-10.0799561
2156,2.156337,291.5,-159,-10.0799561
2157,2.157323,291.5,-159,-10.0799561
2158,2.158327,291.5,-159,-10.0799561
2159,2.159326,291.5,-159,-10.0799561
2160,2.160322,291.5,-159,-10.0799561
2161,2.161329,291.5,-159,-10.0799561
2162,2.162325,291.5,-159,-10.0799561
2163,2.163324,291.5,-159,-10.0799561
2164,2.164328,291.5,-159,-10.0799561
2165,2.165327,291.5,-159,-10.0799561
2166,2.166383,291.5,-159,-10.0799561
2167,2.167329,291.5,-159,-10.0799561
2168,2.168325,291.5,-159,-10.0799561
2169,2.169325,291.5,-159,-10.0799561
2170,2.170328,291.5,-159,-10.0799561
2171,2.171328,291.5,-159,-10.0799561
2172,2.172323,291.5,-159,-10.0799561
2173,2.173342,291.5,-159,-10.0799561
2174,2.174322,291.5,-159,-10.0799561
2175,2.175329,291.5,-159,-10.0799561
2176,2.176357,291.5,-159,-10.0799561
2177,2.177325,291.5,-159,-10.0799561
2178,2.178329,291.5,-159,-10.0799561
2179,2.179328,291.5,-159,-10.0799561
2180,2.180322,291.5,-159,-10.0799561
2181,2.181328,291.5,-159,-10.0799561
2182,2.182323,291.5,-159,-10.0799561
2183,2.183329,291.5,-159,-10.0799561
2184,2.184324,291.5,-159,-10.0799561
2185,2.185322,291.5,-159,-10.0799561
2186,2.186325,291.5,-159,-10.0799561
2187,2.187340,291.5,-159,-10.0799561
2188,2.188327,291.5,-159,-10.0799561
2189,2.189326,291.5,-159,-10.0799561
2190,2.190329,291.5,-159,-10.0799561
2191,2.191328,291.5,-159,-10.0799561
2192,2.192323,291.5,-159,-10.0799561
2193,2.193329,291.5,-159,-10.0799561
2194,2.194324,291.5,-159,-10.0799561
2195,2.195323,291.5,-159,-10.0799561
2196,2.196350,291.5,-159,-10.0799561
2197,2.197343,291.5,-159,-10.0799561
2198,2.198322,291.5,-159,-10.0799561
2199,2.199329,291.5,-159,-10.0799561
2200,2.200324,291.5,-159,-10.0799561
2201,2.201322,291.5,-159,-10.0799561
2202,2.202325,291.5,-159,-10.0799561
2203,2.203324,291.5,-159,-10.0799561
2204,2.204327,291.5,-159,-10.0799561
2205,2.205325,291.5,-159,-10.0799561
2206,2.206328,291.5,-159,-10.0799561
2207,2.207343,291.5,-159,-10.0799561
2208,2.208323,291.5,-159,-10.0799561
2209,2.209329,291.5,-159,-10.0799561
2210,2.210324,291.5,-159,-10.0799561
2211,2.211323,291.5,-159,-10.0799561
2212,2.212326,291.5,-159,-10.0799561
2213,2.213324,291.5,-159,-10.0799561
2214,2.214327,291.5,-159,-10.0799561
2215,2.215327,291.5,-159,-10.0799561
2216,2.216322,291.5,-159,-10.0799561
2217,2.217389,291.5,-159,-10.0799561
2218,2.218322,291.5,-159,-10.0799561
2219,2.219326,291.5,-159,-10.0799561
2220,2.220325,291.5,-159,-10.0799561
2221,2.221329,291.5,-159,-10.0799561
2222,2.222328,291.5,-159,-10.0799561
2223,2.223323,291.5,-159,-10.0799561
2224,2.224323,291.5,-159,-10.0799561
2225,2.225326,291.5,-159,-10.0799561
2226,2.226325,291.5,-159,-10.0799561
2227,2.227324,291.5,-159,-10.0799561
2228,2.228342,291.5,-159,-10.0799561
2229,2.229344,291.5,-159,-10.0799561
2230,2.230324,291.5,-159,-10.0799561
2231,2.231323,291.5,-159,-10.0799561
2232,2.232327,291.5,-159,-10.0799561
2233,2.233326,291.5,-159,-10.0799561
2234,2.234322,291.5,-159,-10.0799561
2235,2.235329,291.5,-159,-10.0799561
2236,2.236325,291.5,-159,-10.0799561
2237,2.237327,291.5,-159,-10.0799561
2238,2.238323,291.5,-159,-10.0799561
2239,2.239339,291.5,-159,-10.0799561
2240,2.240326,291.5,-159,-10.0799561
2241,2.241326,291.5,-159,-10.0799561
2242,2.242329,291.5,-159,-10.0799561
2243,2.243329,291.5,-159,-10.0799561
2244,2.244324,291.5,-159,-10.0799561
2245,2.245322,291.5,-159,-10.0799561
2246,2.246324,291.5,-159,-10.0799561
2247,2.247326,291.5,-159,-10.0799561
2248,2.248328,291.5,-159,-10.0799561
2249,2.249327,291.5,-159,-10.0799561
2250,2.250340,291.5,-159,-10.0799561
2251,2.251328,291.5,-159,-10.0799561
2252,2.252326,291.5,-159,-10.0799561
2253,2.253329,291.5,-159,-10.0799561
2254,2.254328,291.5,-159,-10.0799561
2255,2.255323,291.5,-159,-10.0799561
2256,2.256329,291.5,-159,-10.0799561
2257,2.257327,291.5,-159,-10.0799561
2258,2.258325,291.5,-159,-10.0799561
2259,2.259329,291.5,-159,-10.0799561
2260,2.260327,291.5,-159,-10.0799561
2261,2.261340,291.5,-159,-10.0799561
2262,2.262328,291.5,-159,-10.0799561
2263,2.263326,291.5,-159,-10.0799561
2264,2.264329,291.5,-159,-10.0799561
2265,2.265328,291.5,-159,-10.0799561
2266,2.266323,291.5,-159,-10.0799561
2267,2.267324,291.5,-159,-10.0799561
2268,2.268327,291.5,-159,-10.0799561
2269,2.269326,291.5,-159,-10.0799561
2270,2.270329,291.5,-159,-10.0799561
2271,2.271340,291.5,-159,-10.0799561
2272,2.272327,291.5,-159,-10.0799561
2273,2.273325,291.5,-159,-10.0799561
2274,2.274328,291.5,-159,-10.0799561
2275,2.275327,291.5,-159,-10.0799561
2276,2.276322,291.5,-159,-10.0799561
2277,2.277324,291.5,-159,-10.0799561
2278,2.278326,291.5,-159,-10.0799561
2279,2.279325,291.5,-159,-10.0799561
2280,2.280328,291.5,-159,-10.0799561
2281,2.281436,291.5,-159,-10.0799561
2282,2.282341,291.5,-159,-10.0799561
2283,2.283322,291.5,-159,-10.0799561
2284,2.284329,291.5,-159,-10.0799561
2285,2.285325,291.5,-159,-10.0799561
2286,2.286324,291.5,-159,-10.0799561
2287,2.287323,291.5,-159,-10.0799561
2288,2.288322,291.5,-159,-10.0799561
2289,2.289325,291.5,-159,-10.0799561
2290,2.290325,291.5,-159,-10.0799561
2291,2.291328,291.5,-159,-10.0799561
2292,2.292338,291.5,-159,-10.0799561
2293,2.293329,291.5,-159,-10.0799561
2294,2.294325,291.5,-159,-10.0799561
2295,2.295324,291.5,-159,-10.0799561
2296,2.296328,291.5,-159,-10.0799561
2297,2.297322,291.5,-159,-10.0799561
2298,2.298326,291.5,-159,-10.0799561
2299,2.299325,291.5,-159,-10.0799561
2300,2.300329,291.5,-159,-10.0799561
2301,2.301328,291.5,-159,-10.0799561
2302,2.302324,291.5,-159,-10.0799561
2303,2.303342,291.5,-159,-10.0799561
2304,2.304323,291.5,-159,-10.0799561
2305,2.305322,291.5,-159,-10.0799561
2306,2.306325,291.5,-159,-10.0799561
2307,2.307328,291.5,-159,-10.0799561
2308,2.308323,291.5,-159,-10.0799561
2309,2.309322,291.5,-159,-10.0799561
2310,2.310326,291.5,-159,-10.0799561
2311,2.311324,291.5,-159,-10.0799561
2312,2.312326,291.5,-159,-10.0799561
2313,2.313343,291.5,-159,-10.0799561
2314,2.314322,291.5,-159,-10.0799561
2315,2.315329,291.5,-159,-10.0799561
2316,2.316324,291.5,-159,-10.0799561
2317,2.317326,291.5,-159,-10.0799561
2318,2.318329,291.5,-159,-10.0799561
2319,2.319327,291.5,-159,-10.0799561
2320,2.320322,291.5,-159,-10.0799561
2321,2.321329,291.5,-159,-10.0799561
2322,2.322323,291.5,-159,-10.0799561
2323,2.323419,291.5,-159,-10.0799561
2324,2.324326,291.5,-159,-10.0799561
2325,2.325329,291.5,-159,-10.0799561
2326,2.326328,291.5,-159,-10.0799561
2327,2.327326,291.5,-159,-10.0799561
2328,2.328324,291.5,-159,-10.0799561
2329,2.329327,291.5,-159,-10.0799561
2330,2.330325,291.5,-159,-10.0799561
2331,2.331328,291.5,-159,-10.0799561
2332,2.332327,291.5,-159,-10.0799561
2333,2.333322,291.5,-159,-10.0799561
2334,2.334358,291.5,-159,-10.0799561
2335,2.335328,291.5,-159,-10.0799561
2336,2.336383,291.5,-159,-10.0799561
2337,2.337324,291.5,-159,-10.0799561
2338,2.338327,291.5,-159,-10.0799561
2339,2.339325,291.5,-159,-10.0799561
2340,2.340328,291.5,-159,-10.0799561
2341,2.341327,291.5,-159,-10.0799561
2342,2.342322,291.5,-159,-10.0799561
2343,2.343328,291.5,-159,-10.0799561
2344,2.344323,291.5,-159,-10.0799561
2345,2.345358,291.5,-159,-10.0799561
2346,2.346328,291.5,-159,-10.0799561
2347,2.347327,291.5,-159,-10.0799561
2348,2.348326,291.5,-159,-10.0799561
2349,2.349322,291.5,-159,-10.0799561
2350,2.350329,291.5,-159,-10.0799561
2351,2.351325,291.5,-159,-10.0799561
2352,2.352324,291.5,-159,-10.0799561
2353,2.353328,291.5,-159,-10.0799561
2354,2.354327,291.5,-159,-10.0799561
2355,2.355323,291.5,-159,-10.0799561
2356,2.356322,291.5,-159,-10.0799561
2357,2.357336,291.5,-159,-10.0799561
2358,2.358324,291.5,-159,-10.0799561
2359,2.359324,291.5,-159,-10.0799561
2360,2.360328,291.5,-159,-10.0799561
2361,2.361327,291.5,-159,-10.0799561
2362,2.362322,291.5,-159,-10.0799561
2363,2.363322,291.5,-159,-10.0799561
2364,2.364325,291.5,-159,-10.0799561
2365,2.365325,291.5,-159,-10.0799561
2366,2.366328,291.5,-159,-10.0799561
2367,2.367369,291.5,-159,-10.0799561
2368,2.368323,291.5,-159,-10.0799561
2369,2.369327,291.5,-159,-10.0799561
2370,2.370326,291.5,-159,-10.0799561
2371,2.371322,291.5,-159,-10.0799561
2372,2.372329,291.5,-159,-10.0799561
2373,2.373325,291.5,-159,-10.0799561
2374,2.374324,291.5,-159,-10.0799561
2375,2.375328,291.5,-159,-10.0799561
2376,2.376326,291.5,-159,-10.0799561
2377,2.377364,291.5,-159,-10.0799561
2378,2.378328,291.5,-159,-10.0799561
2379,2.379323,291.5,-159,-10.0799561
2380,2.380322,291.5,-159,-10.0799561
2381,2.381325,291.5,-159,-10.0799561
2382,2.382323,291.5,-159,-10.0799561
2383,2.383326,291.5,-159,-10.0799561
2384,2.384325,291.5,-159,-10.0799561
2385,2.385328,291.5,-159,-10.0799561
2386,2.386326,291.5,-159,-10.0799561
2387,2.387325,291.5,-159,-10.0799561
2388,2.388361,291.5,-159,-10.0799561
2389,2.389325,291.5,-159,-10.0799561
2390,2.390328,291.5,-159,-10.0799561
2391,2.391327,291.5,-159,-10.0799561
2392,2.392322,291.5,-159,-10.0799561
2393,2.393424,291.5,-159,-10.0799561
2394,2.394327,291.5,-159,-10.0799561
2395,2.395323,291.5,-159,-10.0799561
2396,2.396329,291.5,-159,-10.0799561
2397,2.397327,291.5,-159,-10.0799561
2398,2.398325,291.5,-159,-10.0799561
2399,2.399341,291.5,-159,-10.0799561
2400,2.400329,291.5,-159,-10.0799561
2401,2.401327,291.5,-159,-10.0799561
2402,2.402322,291.5,-159,-10.0799561
2403,2.403329,291.5,-159,-10.0799561
2404,2.404324,291.5,-159,-10.0799561
2405,2.405322,291.5,-159,-10.0799561
2406,2.406325,291.5,-159,-10.0799561
2407,2.407327,291.5,-159,-10.0799561
2408,2.408322,291.5,-159,-10.0799561
2409,2.409337,291.5,-159,-10.0799561
2410,2.410325,291.5,-159,-10.0799561
2411,2.411324,291.5,-159,-10.0799561
2412,2.412328,291.5,-159,-10.0799561
2413,2.413327,291.5,-159,-10.0799561
2414,2.414323,291.5,-159,-10.0799561
2415,2.415322,291.5,-159,-10.0799561
2416,2.416326,291.5,-159,-10.0799561
2417,2.417328,291.5,-159,-10.0799561
2418,2.418323,291.5,-159,-10.0799561
2419,2.419339,291.5,-159,-10.0799561
2420,2.420327,291.5,-159,-10.0799561
2421,2.421326,291.5,-159,-10.0799561
2422,2.422322,291.5,-159,-10.0799561
2423,2.423329,291.5,-159,-10.0799561
2424,2.424325,291.5,-159,-10.0799561
2425,2.425324,291.5,-159,-10.0799561
2426,2.426328,291.5,-159,-10.0799561
2427,2.427322,291.5,-159,-10.0799561
2428,2.428326,291.5,-159,-10.0799561
2429,2.429383,291.5,-159,-10.0799561
2430,2.430326,291.5,-159,-10.0799561
2431,2.431323,291.5,-159,-10.0799561
2432,2.432322,291.5,-159,-10.0799561
2433,2.433325,291.5,-159,-10.0799561
2434,2.434325,291.5,-159,-10.0799561
2435,2.435328,291.5,-159,-10.0799561
2436,2.436328,291.5,-159,-10.0799561
2437,2.437326,291.5,-159,-10.0799561
2438,2.438325,291.5,-159,-10.0799561
2439,2.439329,291.5,-159,-10.0799561
2440,2.440447,291.5,-159,-10.0799561
2441,2.441326,291.5,-159,-10.0799561
2442,2.442329,291.5,-159,-10.0799561
2443,2.443327,291.5,-159,-10.0799561
2444,2.444322,291.5,-159,-10.0799561
2445,2.445328,291.5,-159,-10.0799561
2446,2.446323,291.5,-159,-10.0799561
2447,2.447325,291.5,-159,-10.0799561
2448,2.448328,291.5,-159,-10.0799561
2449,2.449326,291.5,-159,-10.0799561
2450,2.450329,291.5,-159,-10.0799561
2451,2.451336,291.5,-159,-10.0799561
2452,2.452329,291.5,-159,-10.0799561
2453,2.453324,291.5,-159,-10.0799561
2454,2.454323,291.5,-159,-10.0799561
2455,2.455326,291.5,-159,-10.0799561
2456,2.456324,291.5,-159,-10.0799561
2457,2.457322,291.5,-159,-10.0799561
2458,2.458329,291.5,-159,-10.0799561
2459,2.459324,291.5,-159,-10.0799561
2460,2.460322,291.5,-159,-10.0799561
2461,2.461325,291.5,-159,-10.0799561
2462,2.462340,291.5,-159,-10.0799561
2463,2.463327,291.5,-159,-10.0799561
2464,2.464325,291.5,-159,-10.0799561
2465,2.465328,291.5,-159,-10.0799561
2466,2.466327,291.5,-159,-10.0799561
2467,2.467325,291.5,-159,-10.0799561
2468,2.468324,291.5,-159,-10.0799561
2469,2.469327,291.5,-159,-10.0799561
2470,2.470325,291.5,-159,-10.0799561
2471,2.471328,291.5,-159,-10.0799561
2472,2.472327,291.5,-159,-10.0799561
2473,2.473339,291.5,-159,-10.0799561
