Index,Time,((robot).imu)->data[10],debug_Y,debug_X
421,2.108301,-11.1785889,-75.2758179,-671.909546
422,2.113322,-11.1785889,-75.2758179,-671.909546
423,2.118303,-11.1785889,-75.2758179,-671.909546
424,2.123318,-11.1785889,-75.2758179,-671.909546
425,2.128305,-11.1785889,-75.2758179,-671.909546
426,2.133322,-11.1785889,-75.2758179,-671.909546
427,2.138318,-11.1785889,-75.2758179,-671.909546
428,2.143307,-11.1785889,-75.2758179,-671.909546
429,2.148322,-11.1785889,-75.2758179,-671.909546
430,2.153303,-11.1785889,-75.2758179,-671.909546
431,2.158315,-11.1785889,-75.2758179,-671.909546
432,2.163304,-11.1785889,-75.2758179,-671.909546
433,2.168320,-11.1785889,-75.2758179,-671.909546
434,2.173304,-11.1785889,-75.2758179,-671.909546
435,2.178323,-11.1785889,-75.2758179,-671.909546
436,2.183306,-11.1785889,-75.2758179,-671.909546
437,2.188319,-11.1785889,-75.2758179,-671.909546
438,2.193321,-11.1785889,-75.2758179,-671.909546
439,2.198317,-11.1785889,-75.2758179,-671.909546
440,2.203307,-11.1785889,-75.2758179,-671.909546
441,2.208321,-11.1785889,-75.2758179,-671.909546
442,2.213307,-11.1785889,-75.2758179,-671.909546
443,2.218317,-11.1785889,-75.2758179,-671.909546
444,2.223306,-11.1785889,-75.2758179,-671.909546
445,2.228304,-11.1785889,-75.2758179,-671.909546
446,2.233323,-11.1785889,-75.2758179,-671.909546
447,2.238304,-11.1785889,-75.2758179,-671.909546
448,2.243319,-11.1785889,-75.2758179,-671.909546
449,2.248302,-11.1785889,-75.2758179,-671.909546
450,2.253317,-11.1785889,-75.2758179,-671.909546
451,2.258304,-11.1785889,-75.2758179,-671.909546
452,2.263320,-11.1785889,-75.2758179,-671.909546
453,2.268307,-11.1785889,-75.2758179,-671.909546
454,2.273323,-11.1785889,-75.2758179,-671.909546
455,2.278306,-11.1785889,-75.2758179,-671.909546
456,2.283319,-11.1785889,-75.2758179,-671.909546
457,2.288305,-11.1785889,-75.2758179,-671.909546
458,2.293318,-11.1785889,-75.2758179,-671.909546
459,2.298303,-11.1785889,-75.2758179,-671.909546
460,2.303322,-11.1785889,-75.2758179,-671.909546
461,2.308302,-11.1785889,-75.2758179,-671.909546
462,2.313321,-11.1785889,-75.2758179,-671.909546
463,2.318301,-11.1785889,-75.2758179,-671.909546
464,2.323323,-11.1785889,-75.2758179,-671.909546
465,2.328302,-11.1785889,-75.2758179,-671.909546
466,2.333303,-11.1785889,-75.2758179,-671.909546
467,2.338322,-11.1785889,-75.2758179,-671.909546
468,2.343301,-11.1785889,-75.2758179,-671.909546
469,2.348319,-11.1785889,-75.2758179,-671.909546
470,2.353304,-11.1785889,-75.2758179,-671.909546
471,2.358323,-11.1785889,-75.2758179,-671.909546
472,2.363304,-11.1785889,-75.2758179,-671.909546
473,2.368322,-11.1785889,-75.2758179,-671.909546
474,2.373307,-11.1785889,-75.2758179,-671.909546
475,2.378318,-11.1785889,-75.2758179,-671.909546
476,2.383307,-11.1785889,-75.2758179,-671.909546
477,2.388316,-11.1785889,-75.2758179,-671.909546
478,2.393301,-11.1785889,-75.2758179,-671.909546
479,2.398320,-11.1785889,-75.2758179,-671.909546
