Index,Time,X,Y
0,0.000000,0,0
1,0.287000,0,0
2,0.305000,0,0
3,0.325000,0,0
4,0.344000,0,0
5,0.364000,0,0
6,0.382000,0,0
7,0.401000,0,0
8,0.420000,0,0
9,0.437000,0,0
10,0.467000,0,0
11,0.484000,0,0
12,0.505000,0,0
13,0.527000,0,0
14,0.546000,0,0
15,0.563000,0,0
16,0.581000,0,0
17,0.599000,0,0
18,0.616000,0,0
19,0.635000,0,0
20,0.655000,0,0
21,0.674000,0,0
22,0.691000,0,0
23,0.708000,0,0
24,0.727000,0,0
25,0.754000,0,0
26,0.772000,0,0
27,0.794000,0,0
28,0.812000,0,0
29,0.831000,0,0
30,0.854000,0,0
31,0.872000,0,0
32,0.888000,0,0
33,0.912000,0,0
34,0.930000,0,0
35,0.948000,0,0
36,0.971000,0,0
37,0.993000,0,0
38,1.015000,0,0
39,1.033000,0,0
40,1.052000,0,0
41,1.071000,0,0
42,1.090000,0,0
43,1.108000,0,0
44,1.126000,0,0
45,1.143000,0,0
46,1.162000,0,0
47,1.180000,0,0
48,1.197000,0,0
49,1.222000,0,0
50,1.247000,0,0
51,1.265000,0,0
52,1.284000,0,0
53,1.302000,0,0
54,1.322000,0,0
55,1.344000,0,0
56,1.362000,0,0
57,1.379000,0,0
58,1.400000,0,0
59,1.418000,0,0
60,1.436000,0,0
61,1.457000,0,0
62,1.475000,0,0
63,1.496000,0,0
64,1.516000,0,0
65,1.534000,0,0
66,1.557000,0,0
67,1.577000,0,0
68,1.594000,0,0
69,1.611000,0,0
70,1.628000,0,0
71,1.646000,0,0
72,1.664000,0,0
73,1.680000,0,0
74,1.697000,0,0
75,1.720000,0,0
76,1.741000,0,0
77,1.759000,0,0
78,1.779000,0,0
79,1.796000,0,0
80,1.820000,0,0
81,1.839000,0,0
82,1.857000,0,0
83,1.874000,0,0
84,1.894000,0,0
85,1.915000,0,0
86,1.934000,0,0
87,1.952000,0,0
88,1.996000,0,0
89,2.013000,0,0
90,2.035000,0,0
91,2.053000,0,0
92,2.070000,0,0
93,2.089000,0,0
94,2.105000,0,0
95,2.124000,0,0
96,2.142000,0,0
97,2.161000,0,0
98,2.180000,0,0
99,2.199000,0,0
100,2.219000,0,0
101,2.245000,0,0
102,2.263000,0,0
103,2.282000,0,0
104,2.300000,0,0
105,2.317000,0,0
106,2.336000,0,0
107,2.353000,0,0
108,2.371000,0,0
109,2.390000,0,0
110,2.410000,0,0
111,2.426000,0,0
112,2.441000,0,0
113,2.464000,0,0
114,2.487000,0,0
115,2.505000,0,0
116,2.522000,0,0
117,2.540000,0,0
118,2.557000,0,0
119,2.576000,0,0
120,2.592000,0,0
121,2.609000,0,0
122,2.628000,0,0
123,2.646000,0,0
124,2.665000,0,0
125,2.683000,0,0
126,2.701000,0,0
127,2.721000,0,0
128,2.745000,0,0
129,2.763000,0,0
130,2.781000,0,0
131,2.801000,0,0
132,2.817000,0,0
133,2.835000,0,0
134,2.852000,0,0
135,2.869000,0,0
136,2.886000,0,0
137,2.903000,0,0
138,2.919000,0,0
139,2.937000,0,0
140,2.956000,0,0
141,2.973000,0,0
142,2.992000,0,0
143,3.011000,0,0
144,3.028000,0,0
145,3.044000,0,0
146,3.063000,0,0
147,3.082000,0,0
148,3.102000,0,0
149,3.120000,0,0
150,3.137000,0,0
151,3.155000,0,0
152,3.171000,0,0
153,3.188000,0,0
154,3.206000,0,0
155,3.235000,0,0
156,3.252000,0,0
157,3.271000,0,0
158,3.289000,0,0
159,3.307000,0,0
160,3.325000,0,0
161,3.343000,0,0
162,3.360000,0,0
163,3.378000,0,0
164,3.398000,0,0
165,3.417000,0,0
166,3.436000,0,0
167,3.453000,0,0
168,3.475000,0,0
169,3.500000,0,0
170,3.517000,0,0
171,3.537000,0,0
172,3.561000,0,0
173,3.579000,0,0
174,3.597000,0,0
175,3.615000,0,0
176,3.631000,0,0
177,3.649000,0,0
178,3.675000,0,0
179,3.692000,0,0
180,3.715000,0,0
181,3.737000,0,0
182,3.756000,0,0
183,3.774000,0,0
184,3.791000,0,0
185,3.810000,0,0
186,3.827000,0,0
187,3.844000,0,0
188,3.862000,0,0
189,3.879000,0,0
190,3.899000,0,0
191,3.916000,0,0
192,3.933000,0,0
193,3.954000,0,0
194,3.976000,0,0
195,4.002000,0,0
196,4.019000,0,0
197,4.039000,0,0
198,4.055000,0,0
199,4.073000,0,0
200,4.091000,0,0
201,4.109000,0,0
202,4.127000,0,0
203,4.144000,0,0
204,4.162000,0,0
205,4.180000,0,0
206,4.198000,0,0
207,4.226000,0,0
208,4.250000,0,0
209,4.270000,0,0
210,4.288000,0,0
211,4.306000,0,0
212,4.326000,0,0
213,4.346000,0,0
214,4.363000,0,0
215,4.381000,0,0
216,4.399000,0,0
217,4.415000,0,0
218,4.434000,0,0
219,4.452000,0,0
220,4.471000,0,0
221,4.493000,0,0
222,4.510000,0,0
223,4.529000,0,0
224,4.550000,0,0
225,4.570000,0,0
226,4.588000,0,0
227,4.605000,0,0
228,4.623000,0,0
229,4.645000,0,0
230,4.666000,0,0
231,4.685000,0,0
232,4.704000,0,0
233,4.725000,0,0
234,4.750000,0,0
235,4.768000,0,0
236,4.786000,0,0
237,4.803000,0,0
238,4.822000,0,0
239,4.841000,0,0
240,4.859000,0,0
241,4.876000,0,0
242,4.895000,0,0
243,4.914000,0,0
244,4.933000,0,0
245,4.952000,0,0
246,4.971000,0,0
247,4.994000,0,0
248,5.010000,0,0
249,5.029000,0,0
250,5.052000,0,0
251,5.074000,0,0
252,5.092000,0,0
253,5.113000,0,0
254,5.134000,0,0
255,5.173000,0,0
256,5.190000,0,0
257,5.216000,0,0
258,5.238000,0,0
259,5.255000,0,0
260,5.273000,0,0
261,5.291000,0,0
262,5.309000,0,0
263,5.331000,0,0
264,5.350000,0,0
265,5.368000,0,0
266,5.386000,0,0
267,5.406000,0,0
268,5.425000,0,0
269,5.444000,0,0
270,5.468000,0,0
271,5.487000,0,0
272,5.505000,0,0
273,5.522000,0,0
274,5.546000,0,0
275,5.564000,0,0
276,5.583000,0,0
277,5.605000,0,0
278,5.623000,0,0
279,5.641000,0,0
280,5.658000,0,0
281,5.675000,0,0
282,5.694000,0,0
