x,y,1.444,-0.084,-1.489,0
-4671.265,-1490.116,1.444,0.085,0.006,0
-4671.243,-1490.182,1.443,0.3,-0.679,-0.008
-4671.284,-1490.231,1.442,-0.169,-1.076,-0.013
-4671.298,-1490.179,1.442,-0.28,-0.383,-0.012
-4671.223,-1490.144,1.442,0.53,0.026,-0.011
-4671.163,-1490.09,1.441,1.07,0.58,-0.015
-4671.195,-1490.1,1.441,0.586,0.392,-0.013
-4671.219,-1490.165,1.442,0.248,-0.329,-0.009
-4671.208,-1490.194,1.442,0.327,-0.579,-0.007
-4671.17,-1490.228,1.442,0.662,-0.851,-0.005
-4671.122,-1490.15,1.442,1.07,0.079,-0.005
-4671.12,-1490.153,1.443,0.931,0.041,0.006
-4671.16,-1490.099,1.443,0.378,0.587,0.006
-4671.198,-1490.115,1.443,-0.064,0.332,0.007
-4671.167,-1490.123,1.444,0.259,0.206,0.01
-4671.151,-1490.161,1.444,0.382,-0.221,0.013
-4671.187,-1490.141,1.444,-0.04,0.019,0.01
-4671.192,-1490.09,1.444,-0.08,0.543,0.01
-4671.251,-1490.03,1.444,-0.682,1.078,0.006
-4671.339,-1489.963,1.444,-1.488,1.614,0.004
-4671.386,-1489.918,1.444,-1.746,1.84,0.004
-4671.397,-1489.99,1.444,-1.605,0.83,0.01
-4671.411,-1489.967,1.444,-1.51,0.939,0.008
-4671.363,-1490.046,1.443,-0.794,-0.012,-0.004
-4671.369,-1490.04,1.443,-0.742,0.052,-0.007
-4671.379,-1490.024,1.443,-0.738,0.214,-0.003
-4671.295,-1489.956,1.443,0.232,0.877,0
-4671.257,-1489.983,1.443,0.588,0.478,-0.003
-4671.252,-1490.105,1.443,0.554,-0.858,-0.003
-4671.197,-1490.125,1.444,1.046,-0.927,0.005
-4671.21,-1490.137,1.444,0.75,-0.925,0.005
-4671.206,-1490.127,1.444,0.687,-0.684,0.005
-4671.196,-1490.197,1.444,0.687,-1.303,0.001
-4671.2,-1490.246,1.444,0.551,-1.609,0.006
-4671.171,-1490.241,1.444,0.763,-1.327,0
-4671.162,-1490.233,1.444,0.742,-1.046,0.001
-4671.171,-1490.173,1.443,0.538,-0.278,-0.006
-4671.185,-1490.168,1.444,0.325,-0.18,0
-4671.161,-1490.033,1.445,0.524,1.235,0.011
-4671.216,-1490.066,1.445,-0.129,0.716,0.009
-4671.25,-1490.132,1.445,-0.463,-0.078,0.012
-4671.175,-1490.197,1.444,0.381,-0.728,-0.001
-4671.194,-1490.213,1.444,0.135,-0.789,-0.002
-4671.139,-1490.227,1.443,0.683,-0.814,-0.008
-4671.161,-1490.225,1.443,0.354,-0.679,-0.011
-4671.145,-1490.201,1.442,0.47,-0.335,-0.019
-4671.13,-1490.211,1.442,0.547,-0.384,-0.017
-4671.112,-1490.156,1.442,0.652,0.239,-0.015
-4671.199,-1490.138,1.442,-0.336,0.39,-0.01
-4671.154,-1490.16,1.442,0.177,0.109,-0.01
-4671.274,-1490.113,1.443,-1.086,0.573,0.002
-4671.13,-1490.027,1.443,0.551,1.373,0.003
-4671.156,-1490.025,1.443,0.203,1.194,0.006
-4671.115,-1489.985,1.443,0.605,1.427,-0.003
-4671.181,-1489.985,1.443,-0.167,1.22,-0.001
-4671.155,-1490.049,1.442,0.125,0.377,-0.003
-4671.13,-1490.086,1.442,0.361,-0.053,-0.006
-4671.135,-1490.114,1.442,0.256,-0.337,-0.007
-4671.066,-1490.112,1.442,0.925,-0.266,-0.008
-4670.967,-1490.143,1.442,1.81,-0.545,-0.005
-4670.975,-1490.218,1.443,1.47,-1.238,0.004
-4670.981,-1490.173,1.443,1.182,-0.592,0.001
-4670.938,-1490.247,1.443,1.463,-1.271,0.007
-4671,-1490.099,1.444,0.605,0.442,0.013
-4671.052,-1490.107,1.444,-0.018,0.294,0.01
-4671.068,-1490.063,1.443,-0.188,0.708,0.004
-4671.117,-1490.164,1.443,-0.664,-0.438,0.001
-4671.139,-1490.13,1.443,-0.784,-0.028,0.001
-4671.222,-1490.14,1.443,-1.525,-0.121,-0.004
-4671.146,-1490.152,1.443,-0.525,-0.225,-0.003
-4671.093,-1490.183,1.443,0.106,-0.517,-0.003
-4671.094,-1490.126,1.443,0.078,0.152,0
-4671.098,-1490.167,1.442,0.025,-0.3,-0.005
-4671.02,-1490.138,1.442,0.82,0.048,-0.005
-4670.991,-1490.151,1.443,1.001,-0.094,0.001
-4671.019,-1490.144,1.444,0.57,-0.008,0.012
-4671.065,-1490.106,1.444,0.009,0.388,0.011
-4671.16,-1490.072,1.444,-0.975,0.674,0.01
-4671.173,-1490.073,1.444,-0.964,0.572,0.007
-4671.145,-1490.113,1.444,-0.525,0.075,0.005
-4671.224,-1490.074,1.444,-1.266,0.461,0.002
-4671.24,-1490.013,1.443,-1.249,1.024,0
-4671.215,-1490.065,1.445,-0.806,0.341,0.011
-4671.189,-1490.114,1.444,-0.426,-0.22,0.006
-4671.128,-1490.127,1.444,0.265,-0.321,0.004
-4671.121,-1490.214,1.444,0.302,-1.173,-0.001
-4671.167,-1490.216,1.444,-0.216,-1.021,0.002
-4671.21,-1490.22,1.444,-0.626,-0.903,-0.001
-4671.258,-1490.179,1.444,-1.026,-0.356,0.002
-4671.22,-1490.108,1.444,-0.489,0.431,0.002
-4671.267,-1490.129,1.444,-0.899,0.154,0.002
-4671.299,-1490.162,1.443,-1.095,-0.212,-0.006
-4671.259,-1490.192,1.443,-0.522,-0.485,-0.005
-4671.276,-1490.202,1.444,-0.623,-0.517,0.001
-4671.193,-1490.202,1.444,0.324,-0.444,0.003
-4671.126,-1490.123,1.444,0.97,0.437,0
-4671.182,-1490.101,1.444,0.249,0.594,0.002
-4671.149,-1490.056,1.443,0.547,0.971,-0.006
-4671.147,-1490.058,1.442,0.492,0.811,-0.014
-4671.165,-1490.033,1.441,0.24,0.948,-0.019
-4671.175,-1490.098,1.441,0.095,0.138,-0.016
-4671.153,-1490.095,1.441,0.309,0.153,-0.017
-4671.243,-1490.161,1.441,-0.66,-0.548,-0.012
-4671.275,-1490.167,1.442,-0.896,-0.53,-0.008
-4671.244,-1490.118,1.442,-0.439,0.052,0
-4671.25,-1490.089,1.443,-0.44,0.337,0.009
-4671.31,-1490.002,1.444,-0.995,1.187,0.011
-4671.29,-1489.995,1.444,-0.644,1.081,0.013
