-5434.224,289.674,-1.505,0.155,-0.603,-0.010
-5434.121,289.703,-1.505,1.189,-0.207,-0.012
-5434.301,289.758,-1.504,-0.833,0.389,-0.004
-5434.324,289.775,-1.504,-0.945,0.501,0.002
-5434.421,289.882,-1.504,-1.808,1.536,0.001
-5434.438,289.923,-1.503,-1.719,1.727,0.005
-5434.489,289.945,-1.503,-1.990,1.699,0.012
-5434.495,290.007,-1.502,-1.758,2.091,0.017
-5434.418,289.989,-1.503,-0.706,1.597,0.004
-5434.475,289.897,-1.504,-1.188,0.410,-0.001
-5434.457,289.997,-1.503,-0.829,1.382,0.001
-5434.508,289.979,-1.503,-1.233,0.990,0.005
-5434.509,290.008,-1.503,-1.059,1.148,0.001
-5434.494,290.044,-1.503,-0.750,1.350,0.004
-5434.438,290.003,-1.504,-0.067,0.729,-0.005
-5434.310,289.933,-1.504,1.262,-0.097,-0.006
-5434.290,289.853,-1.504,1.284,-0.914,-0.010
-5434.086,289.880,-1.503,3.195,-0.499,0.002
-5434.082,289.832,-1.501,2.771,-0.917,0.026
-5434.226,289.840,-1.501,0.875,-0.698,0.021
-5434.366,289.691,-1.501,-0.694,-2.135,0.021
-5434.283,289.770,-1.500,0.265,-1.007,0.025
-5434.341,289.815,-1.500,-0.376,-0.391,0.025
-5434.165,289.839,-1.501,1.498,-0.093,0.007
-5434.190,289.795,-1.501,1.009,-0.526,0.010
-5434.195,289.838,-1.502,0.815,-0.006,-0.004
-5434.225,289.821,-1.503,0.390,-0.180,-0.013
-5434.227,289.761,-1.503,0.313,-0.772,-0.012
-5434.262,289.785,-1.502,-0.098,-0.410,-0.002
-5434.240,289.743,-1.503,0.144,-0.784,-0.011
-5434.368,289.692,-1.504,-1.196,-1.194,-0.017
-5434.453,289.742,-1.504,-1.894,-0.504,-0.020
-5434.505,289.702,-1.503,-2.156,-0.843,-0.000
-5434.540,289.787,-1.503,-2.198,0.161,-0.006
-5434.470,289.760,-1.503,-1.147,-0.146,-0.005
-5434.409,289.878,-1.503,-0.351,1.092,-0.001
-5434.328,289.760,-1.501,0.531,-0.288,0.017
-5434.237,289.736,-1.502,1.390,-0.488,0.005
-5434.277,289.749,-1.504,0.776,-0.284,-0.010
-5434.312,289.930,-1.505,0.292,1.621,-0.017
-5434.288,289.903,-1.503,0.503,1.103,0.001
-5434.330,289.837,-1.504,-0.001,0.268,-0.006
-5434.240,289.870,-1.502,0.927,0.563,0.010
-5434.388,289.904,-1.501,-0.734,0.827,0.015
-5434.255,289.911,-1.502,0.738,0.782,0.006
-5434.143,289.797,-1.503,1.789,-0.510,-0.002
-5434.054,289.807,-1.503,2.437,-0.324,-0.007
-5434.232,289.908,-1.504,0.240,0.760,-0.013
-5434.403,289.939,-1.503,-1.551,0.968,-0.004
-5434.250,289.960,-1.501,0.255,1.039,0.016
-5434.413,289.848,-1.502,-1.464,-0.266,0.010
-5434.403,289.858,-1.503,-1.139,-0.125,0.001
-5434.504,289.857,-1.501,-2.021,-0.114,0.016
-5434.419,289.729,-1.501,-0.844,-1.415,0.014
-5434.271,289.765,-1.501,0.800,-0.838,0.012
-5434.229,289.803,-1.502,1.127,-0.324,0.002
