Index,Time,((robot).imu)->data[10],debug_Y,debug_X
0,0.000000,0,0,0
1,1.652000,0,57,-67.9000015
2,1.677000,0,57,-67.9000015
3,1.703000,0,57,-67.9000015
4,1.730000,0,57,-67.9000015
5,1.759000,0,57,-67.9000015
6,1.786000,0,57,-67.9000015
7,1.813000,0,57,-67.9000015
8,1.846000,0,57,-67.9000015
9,1.873000,0,57,-67.9000015
10,1.899000,0,57,-67.9000015
11,1.927000,0,57,-67.9000015
12,1.952000,0,57,-67.9000015
13,1.981000,0,57,-67.9000015
14,2.006000,0,57,-67.9000015
15,2.033000,0,57,-67.9000015
16,2.061000,0,57,-67.9000015
17,2.089000,0,57,-67.9000015
18,2.115000,0,57,-67.9000015
19,2.143000,0,57,-67.9000015
20,2.170000,0,57,-67.9000015
21,2.197000,0,57,-67.9000015
22,2.226000,0,57,-67.9000015
23,2.253000,0,57,-67.9000015
24,2.281000,0,57,-67.9000015
25,2.307000,0,57,-67.9000015
26,2.338000,0,57,-67.9000015
27,2.362000,0,57,-67.9000015
28,2.389000,0,57,-67.9000015
29,2.416000,0,57,-67.9000015
30,2.443000,0,57,-67.9000015
31,2.471000,0,57,-67.9000015
32,2.499000,0,57,-67.9000015
33,2.526000,0,57,-67.9000015
34,2.560000,0,57,-67.9000015
35,2.586000,0,57,-67.9000015
36,2.613000,0,57,-67.9000015
37,2.640000,0,57,-67.9000015
38,2.669000,0,57,-67.9000015
39,2.693000,0,57,-67.9000015
40,2.721000,0,57,-67.9000015
41,2.748000,0,57,-67.9000015
42,2.776000,0,57,-67.9000015
43,2.803000,0,57,-67.9000015
44,2.828000,0,57,-67.9000015
45,2.854000,0,57,-67.9000015
46,2.880000,0,57,-67.9000015
47,2.905000,0,57,-67.9000015
48,2.930000,0,57,-67.9000015
49,2.955000,0,57,-67.9000015
50,2.981000,0,57,-67.9000015
51,3.009000,0,57,-67.9000015
52,3.038000,0,57,-67.9000015
53,3.063000,0,57,-67.9000015
54,3.088000,0,57,-67.9000015
55,3.112000,0,57,-67.9000015
56,3.145000,0,57,-67.9000015
57,3.172000,0,57,-67.9000015
58,3.198000,0,57,-67.9000015
59,3.229000,0,57,-67.9000015
60,3.259000,0,57,-67.9000015
61,3.287000,0,57,-67.9000015
62,3.315000,0,57,-67.9000015
63,3.342000,0,57,-67.9000015
64,3.369000,0,57,-67.9000015
65,3.397000,0,57,-67.9000015
66,3.424000,0,57,-67.9000015
67,3.449000,0,57,-67.9000015
68,3.474000,0,57,-67.9000015
69,3.500000,0,57,-67.9000015
70,3.526000,0,57,-67.9000015
71,3.556000,0,57,-67.9000015
72,3.589000,0,57,-67.9000015
73,3.613000,0,57,-67.9000015
74,3.642000,0,57,-67.9000015
75,3.671000,0,57,-67.9000015
76,3.701000,0,57,-67.9000015
77,3.728000,0,57,-67.9000015
78,3.757000,-43.8684082,57,-67.9000015
79,3.786000,-43.8574219,57,-67.9000015
80,3.812000,-43.8409424,57,-67.9000015
81,3.840000,-43.8299561,57,-67.9000015
82,3.867000,-43.8079834,57,-67.9000015
83,3.901000,-43.7915039,57,-67.9000015
84,3.929000,-43.7750244,57,-67.9000015
85,3.955000,-43.7640381,57,-67.9000015
86,3.983000,-43.7585449,57,-67.9000015
87,4.012000,-43.7475586,57,-67.9000015
88,4.040000,-43.7420654,57,-67.9000015
89,4.066000,-43.7310791,57,-67.9000015
90,4.094000,-43.7200928,57,-67.9000015
91,4.120000,-43.7091064,57,-67.9000015
92,4.148000,-43.692627,57,-67.9000015
93,4.173000,-43.6816406,57,-67.9000015
94,4.201000,-43.6706543,57,-67.9000015
95,4.229000,-43.659668,57,-67.9000015
96,4.258000,-43.6486816,57,-67.9000015
97,4.283000,-43.6376953,57,-67.9000015
98,4.310000,-43.626709,57,-67.9000015
99,4.339000,-43.6157227,57,-67.9000015
100,4.369000,-43.6047363,57,-67.9000015
101,4.397000,-43.5992432,57,-67.9000015
102,4.425000,-43.5992432,57,-67.9000015
103,4.452000,-43.5827637,57,-67.9000015
104,4.483000,-43.5827637,57,-67.9000015
105,4.510000,-43.5717773,57,-67.9000015
106,4.537000,-43.5662842,57,-67.9000015
107,4.565000,-43.560791,57,-67.9000015
108,4.589000,-43.5552979,57,-67.9000015
109,4.616000,-43.5552979,57,-67.9000015
110,4.641000,-43.5552979,57,-67.9000015
111,4.669000,-43.5552979,57,-67.9000015
112,4.698000,-43.5552979,57,-67.9000015
113,4.724000,-43.5552979,57,-67.9000015
114,4.750000,-43.5498047,57,-67.9000015
115,4.777000,-43.5443115,57,-67.9000015
116,4.801000,-43.5443115,57,-67.9000015
117,4.827000,-43.5443115,57,-67.9000015
118,4.853000,-43.5388184,57,-67.9000015
119,4.879000,-43.5388184,57,-67.9000015
120,4.907000,-43.5388184,57,-67.9000015
121,4.933000,-43.5333252,57,-67.9000015
122,4.959000,-43.527832,57,-67.9000015
123,4.984000,-43.5223389,57,-67.9000015
124,5.013000,-43.5168457,57,-67.9000015
125,5.040000,-43.5058594,57,-67.9000015
126,5.067000,-43.5058594,57,-67.9000015
127,5.099000,-43.5058594,57,-67.9000015
128,5.126000,-43.5003662,57,-67.9000015
129,5.156000,-43.494873,57,-67.9000015
130,5.183000,-43.5003662,57,-67.9000015
131,5.210000,-43.5003662,57,-67.9000015
132,5.243000,-43.494873,57,-67.9000015
133,5.269000,-43.494873,57,-67.9000015
134,5.298000,-43.5058594,57,-67.9000015
135,5.326000,-43.5058594,57,-67.9000015
136,5.353000,-43.5113525,57,-67.9000015
137,5.383000,-43.5113525,57,-67.9000015
138,5.413000,-43.5113525,57,-67.9000015
139,5.440000,-43.5113525,57,-67.9000015
140,5.467000,-43.5058594,57,-67.9000015
141,5.496000,-43.5058594,57,-67.9000015
142,5.525000,-43.5058594,57,-67.9000015
143,5.553000,-43.5003662,57,-67.9000015
144,5.591000,-43.494873,57,-67.9000015
145,5.620000,-43.4893799,57,-67.9000015
146,5.648000,-43.4838867,57,-67.9000015
147,5.675000,-43.4729004,57,-67.9000015
148,5.701000,-43.4729004,57,-67.9000015
149,5.731000,-43.4674072,57,-67.9000015
150,5.757000,-43.4674072,57,-67.9000015
151,5.786000,-43.4674072,57,-67.9000015
152,5.813000,-43.4674072,57,-67.9000015
153,5.841000,-43.4619141,57,-67.9000015
154,5.869000,-43.4674072,57,-67.9000015
155,5.900000,-43.4619141,57,-67.9000015
156,5.926000,-43.4619141,57,-67.9000015
157,5.954000,-43.4564209,57,-67.9000015
158,5.982000,-43.4564209,57,-67.9000015
159,6.008000,-43.4674072,57,-67.9000015
160,6.034000,-43.4674072,57,-67.9000015
161,6.062000,-43.4729004,57,-67.9000015
162,6.093000,-43.4674072,57,-67.9000015
